Block	StimType	Stimulus	key_pressed	RESP	Accuracy	RT
UnsupervisedDense	target	test14	x	target	1	0.822
UnsupervisedDense	nottarget	contr1	x	target	0	0.921
UnsupervisedDense	target	test4	x	target	1	0.366
UnsupervisedDense	target	test16	x	target	1	0.453
UnsupervisedDense	nottarget	contr2	x	target	0	0.389
UnsupervisedDense	target	test15	x	target	1	0.598
UnsupervisedDense	nottarget	catch1	n	nottarget	1	0.684
UnsupervisedDense	nottarget	catch6	n	nottarget	1	0.618
UnsupervisedDense	nottarget	contr13	x	target	0	0.734
UnsupervisedDense	nottarget	contr8	x	target	0	0.453
UnsupervisedDense	target	test2	x	target	1	0.975
UnsupervisedDense	target	test12	x	target	1	0.383
UnsupervisedSparse	nottarget	contr13	n	nottarget	1	2.511
UnsupervisedSparse	target	test2	x	target	1	1.384
UnsupervisedSparse	nottarget	contr3	n	nottarget	1	0.962
UnsupervisedSparse	target	test12	x	target	1	0.786
UnsupervisedSparse	target	test4	x	target	1	1.019
UnsupervisedSparse	nottarget	catch7	n	nottarget	1	0.728
UnsupervisedSparse	nottarget	contr5	n	nottarget	1	0.926
UnsupervisedSparse	nottarget	catch6	n	nottarget	1	2.316
UnsupervisedSparse	nottarget	contr2	n	nottarget	1	0.828
UnsupervisedSparse	nottarget	catch1	n	nottarget	1	0.821
UnsupervisedSparse	target	test10	x	target	1	1.156
UnsupervisedSparse	nottarget	contr6	n	nottarget	1	0.705
UnsupervisedSparse	nottarget	catch3	n	nottarget	1	0.781
UnsupervisedSparse	target	test3	x	target	1	0.765
UnsupervisedSparse	nottarget	catch8	n	nottarget	1	0.807
UnsupervisedSparse	target	test6	x	target	1	0.927
UnsupervisedSparse	nottarget	contr11	n	nottarget	1	0.847
UnsupervisedSparse	nottarget	contr1	n	nottarget	1	0.632
UnsupervisedSparse	target	test1	x	target	1	0.775
UnsupervisedSparse	nottarget	catch2	n	nottarget	1	0.772
UnsupervisedSparse	nottarget	catch5	n	nottarget	1	1.128
UnsupervisedSparse	target	test11	x	target	1	0.855
UnsupervisedSparse	target	test13	x	target	1	1.418
UnsupervisedSparse	nottarget	catch4	n	nottarget	1	0.635
UnsupervisedSparse	nottarget	contr12	n	nottarget	1	0.738
UnsupervisedSparse	target	test15	n	nottarget	0	1.772
UnsupervisedSparse	target	test14	x	target	1	0.835
UnsupervisedSparse	target	test16	x	target	1	0.834
UnsupervisedSparse	nottarget	contr14	n	nottarget	1	0.733
UnsupervisedSparse	nottarget	contr16	n	nottarget	1	0.792
UnsupervisedSparse	target	test9	x	target	1	0.670
UnsupervisedSparse	nottarget	contr15	n	nottarget	1	0.801
UnsupervisedSparse	target	test5	x	target	1	0.740
UnsupervisedSparse	nottarget	contr9	n	nottarget	1	0.741
UnsupervisedSparse	nottarget	contr10	n	nottarget	1	0.713
UnsupervisedSparse	nottarget	contr8	n	nottarget	1	0.764
UnsupervisedSparse	nottarget	contr7	n	nottarget	1	0.511
UnsupervisedSparse	nottarget	contr4	n	nottarget	1	0.533
UnsupervisedSparse	target	test8	x	target	1	0.722
UnsupervisedSparse	target	test7	x	target	1	0.818
