"","Subject","System","ashby","sloutsky","tt","sloutsky.t","tt.t","ashby.cs"
"19",8029,"associative",-1.21901997308787,0.678906765870263,1.01945125873713,1.03410089560062,1.65462998352178,-1.24645767594729
"20",8029,"hypothesis-testing",-0.0798243259330897,0.290396401593369,-0.292926045316559,-0.0185275600706761,-0.703705158165666,-0.0979753998916023
"21",8030,"associative",-0.901104908765605,-1.00408134249852,0.494500337115654,-1.33182608100475,0.42407140882664,-0.925950994257335
"22",8030,"hypothesis-testing",-1.27200581714158,0.0258007472573115,-0.292926045316559,-0.496310669139629,-0.703705158165666,-1.29987545622896
"23",8032,"associative",-0.874611986738749,0.678906765870263,0.494500337115654,1.03410089560062,0.42407140882664,-0.899242104116504
"24",8032,"hypothesis-testing",0.847427945006846,-0.573922170183084,0.494500337115654,-1.09308161304099,0.42407140882664,0.836835755037449
"25",8033,"associative",-0.954090752819315,0.290396401593369,-3.96758249666689,-0.0185275600706761,-2.31066804673105,-0.979368774538995
"26",8033,"hypothesis-testing",0.847427945006846,0.678906765870263,-0.555401506127297,1.03410089560062,-0.934019015523857,0.836835755037449
"27",8034,"associative",-0.662668610523907,0.125312970421714,-0.817876966938034,-0.337329154958259,-1.12588131642622,-0.685570982989864
"28",8034,"hypothesis-testing",-1.51044211538328,-2.92629820194231,-0.030450584505821,-1.83317371623237,-0.416576644216606,-1.54025546749643
"29",8035,"associative",0.132119050281753,-0.186461637795123,0.494500337115654,-0.763528299880345,0.42407140882664,0.115695721235038
"30",8035,"hypothesis-testing",1.40377930757081,0.290396401593369,0.494500337115654,-0.0185275600706761,0.42407140882664,1.39772244799488
"31",8036,"associative",-0.371246468228498,0.678906765870263,0.756975797926392,1.03410089560062,0.989989794864697,-0.391773191440733
"32",8036,"hypothesis-testing",1.43027222959766,0.678906765870263,-0.555401506127297,1.03410089560062,-0.934019015523857,1.42443133813571
"33",8037,"associative",-0.397739390255354,-0.0157012134301294,-0.292926045316559,-0.555659803479043,-0.703705158165666,-0.418482081581563
"34",8037,"hypothesis-testing",1.45676515162452,0.678906765870263,-0.292926045316559,1.03410089560062,-0.703705158165666,1.45114022827654
"35",8038,"associative",-1.00707659687303,0.678906765870263,-0.555401506127297,1.03410089560062,-0.934019015523857,-1.03278655482065
"36",8038,"hypothesis-testing",-0.450725234309064,0.125312970421714,-0.555401506127297,-0.337329154958259,-0.934019015523857,-0.471899861863223
"37",8042,"associative",-0.371246468228498,0.678906765870263,1.01945125873713,1.03410089560062,1.65462998352178,-0.391773191440733
"38",8042,"hypothesis-testing",1.48325807365137,0.678906765870263,0.232024876304917,1.03410089560062,-0.0443127554256166,1.47784911841737
"39",8044,"associative",-0.212288936067366,0.125312970421714,-0.817876966938034,-0.337329154958259,-1.12588131642622,-0.231519850595753
"40",8044,"hypothesis-testing",1.58922976175879,0.678906765870263,-1.08035242774877,1.03410089560062,-1.29003426061973,1.58468467898069
"41",8045,"associative",-0.530204000389631,0.125312970421714,-1.08035242774877,-0.337329154958259,-1.29003426061973,-0.552026532285714
"42",8045,"hypothesis-testing",1.13885008730225,0.125312970421714,0.232024876304917,-0.337329154958259,-0.0443127554256166,1.13063354658658
"43",8046,"associative",-0.742147376604473,0.125312970421714,0.756975797926392,-0.337329154958259,0.989989794864697,-0.765697653412354
"44",8046,"hypothesis-testing",-1.06006244092674,-1.71000031621706,0.232024876304917,-1.58318146756079,-0.0443127554256166,-1.08620433510231
"45",8047,"associative",-0.874611986738749,-0.26319739385518,0.756975797926392,-0.841763095840071,0.989989794864697,-0.899242104116504
"46",8047,"hypothesis-testing",-0.106317247959946,0.678906765870263,0.756975797926392,1.03410089560062,0.989989794864697,-0.124684290032433
"47",8048,"associative",-0.980583674846171,0.678906765870263,-0.555401506127297,1.03410089560062,-0.934019015523857,-1.00607766467982
"48",8048,"hypothesis-testing",0.132119050281753,-0.26319739385518,-0.555401506127297,-0.841763095840071,-0.934019015523857,0.115695721235038
"49",8049,"associative",-0.662668610523907,0.125312970421714,0.232024876304917,-0.337329154958259,-0.0443127554256166,-0.685570982989864
"50",8049,"hypothesis-testing",-0.92759783079246,-4.81660100542723,-1.60530334937025,-2.04151535222268,-1.56026016443486,-0.952659884398165
"51",8053,"associative",-1.29849873916843,0.678906765870263,-1.60530334937025,1.03410089560062,-1.56026016443486,-1.32658434636979
"52",8053,"hypothesis-testing",0.847427945006846,-2.89573534117357,0.232024876304917,-1.82848496592328,-0.0443127554256166,0.836835755037449
