Experiment,Unnamed: 21,Unnamed: 24,Unnamed: 30,cat1,cat2,cat3,correct,date,expName,expTrials.thisIndex,expTrials.thisN,expTrials.thisRepN,expTrials.thisTrialN,frameRate,img1,img2,img3,participant,pracTrials.thisIndex,pracTrials.thisN,pracTrials.thisRepN,pracTrials.thisTrialN,readyTest.keys,readyTest.rt,resp.corr,resp.keys,resp.rt,session,targ,targ_img,word1,word2,word3
thematic,,,,tax,them,dist,down,2018_Oct_31_0844,taxthemexp_tax_img,,,,,59.8942430582,stim/coffeemaker.jpg,stim/stove.jpg,stim/doorknob.jpg,8054,0.0,4.0,0.0,4.0,,,1.0,down,3.81905889511,1,kettle,stim/kettle.jpg,coffee maker,stove,doorknob
thematic,,,,dist,tax,them,right,2018_Oct_31_0844,taxthemexp_tax_img,,,,,59.8942430582,stim/grapes.jpg,stim/handcuffs.jpg,stim/key.jpg,8054,2.0,5.0,0.0,5.0,,,1.0,right,0.652369022369,1,lock,stim/lock.jpg,grapes,handcuffs,key
thematic,,,,,,,,2018_Oct_31_0844,taxthemexp_tax_img,,,,,59.8942430582,,,,8054,,,,,space,1.4680531024899999,,,,1,,,,,
thematic,,,,tax,dist,them,right,2018_Oct_31_0844,taxthemexp_tax_img,18.0,0.0,0.0,0.0,59.8942430582,stim/ham.jpg,stim/remote.jpg,stim/grill.jpg,8054,,,,,,,1.0,right,1.3507778644600001,1,steak,stim/steak.jpg,ham,remote,grill
thematic,,,,dist,tax,them,right,2018_Oct_31_0844,taxthemexp_tax_img,16.0,1.0,0.0,1.0,59.8942430582,stim/mirror.jpg,stim/shotglass.jpg,stim/winebottle.jpg,8054,,,,,,,1.0,right,0.932464122772,1,wine glass,stim/wineglass.jpg,mirror,shotglass,wine bottle
thematic,,,,dist,tax,them,right,2018_Oct_31_0844,taxthemexp_tax_img,15.0,2.0,0.0,2.0,59.8942430582,stim/slinky.jpg,stim/basket.jpg,stim/shirt.jpg,8054,,,,,,,1.0,right,0.867485046387,1,laundry basket,stim/laundrybasket.jpg,slinky,basket,shirt
thematic,,,,tax,them,dist,down,2018_Oct_31_0844,taxthemexp_tax_img,4.0,3.0,0.0,3.0,59.8942430582,stim/exercisebike.jpg,stim/dumbbell.jpg,stim/goggles.jpg,8054,,,,,,,1.0,down,0.9834840297700002,1,exercise bench,stim/exercisebench.jpg,exercise bike,dumbbell,goggles
thematic,,,,them,dist,tax,left,2018_Oct_31_0844,taxthemexp_tax_img,7.0,4.0,0.0,4.0,59.8942430582,stim/bullet.jpg,stim/starfish.jpg,stim/sword.jpg,8054,,,,,,,1.0,left,1.13449406624,1,gun,stim/gun.jpg,bullet,starfish,sword
thematic,,,,dist,tax,them,right,2018_Oct_31_0844,taxthemexp_tax_img,21.0,5.0,0.0,5.0,59.8942430582,stim/lipstick.jpg,stim/radio.jpg,stim/speakers.jpg,8054,,,,,,,1.0,right,2.96819400787,1,record player,stim/recordplayer.jpg,lipstick,radio,speakers
thematic,,,,dist,them,tax,down,2018_Oct_31_0844,taxthemexp_tax_img,3.0,6.0,0.0,6.0,59.8942430582,stim/hairdryer.jpg,stim/leash.jpg,stim/cat.jpg,8054,,,,,,,1.0,down,1.08366298676,1,dog,stim/dog.jpg,hairdryer,leash,cat
