Subject,Block,StimType,Stimulus,KEY,RESP,Accuracy,RT
8040,SupervisedDense,target,test13,x,target,1,0.498
8040,SupervisedDense,target,test12,x,target,1,0.5710000000000001
8040,SupervisedDense,target,test14,x,target,1,0.419
8040,SupervisedDense,nottarget,catch3,n,nottarget,1,0.38299999999999995
8040,SupervisedDense,target,test5,x,target,1,0.589
8040,SupervisedDense,target,test4,n,nottarget,0,0.396
8040,SupervisedDense,nottarget,contr15,n,nottarget,1,0.88
8040,SupervisedDense,target,test2,x,target,1,0.379
8040,SupervisedDense,nottarget,contr14,n,nottarget,1,0.49
8040,SupervisedDense,nottarget,contr10,n,nottarget,1,0.434
8040,SupervisedDense,target,test3,x,target,1,0.51
8040,SupervisedDense,nottarget,contr6,n,nottarget,1,0.544
8040,SupervisedDense,target,test6,x,target,1,0.455
8040,UnsupervisedSparse,target,test11,n,nottarget,0,4.6419999999999995
8040,UnsupervisedSparse,target,test4,x,target,1,0.7240000000000001
8040,UnsupervisedSparse,nottarget,catch8,n,nottarget,1,1.013
8040,UnsupervisedSparse,nottarget,contr15,x,target,0,0.7609999999999999
8040,UnsupervisedSparse,nottarget,contr9,x,target,0,0.623
8040,UnsupervisedSparse,nottarget,contr1,n,nottarget,1,1.052
8040,UnsupervisedSparse,nottarget,catch7,n,nottarget,1,0.7979999999999999
8040,UnsupervisedSparse,target,test10,n,nottarget,0,0.35700000000000004
8040,UnsupervisedSparse,target,test9,x,target,1,0.275
8040,UnsupervisedSparse,nottarget,contr7,n,nottarget,1,0.317
8040,UnsupervisedSparse,target,test3,x,target,1,0.0
8040,UnsupervisedSparse,nottarget,contr2,n,nottarget,1,0.0
8040,UnsupervisedSparse,nottarget,contr5,n,nottarget,1,0.945
8040,UnsupervisedSparse,target,test15,x,target,1,0.695
8040,UnsupervisedSparse,nottarget,catch3,n,nottarget,1,0.48200000000000004
8040,UnsupervisedSparse,target,test6,x,target,1,0.66
8040,UnsupervisedSparse,nottarget,contr10,n,nottarget,1,1.07
8040,UnsupervisedSparse,nottarget,contr4,n,nottarget,1,0.49700000000000005
8040,UnsupervisedSparse,nottarget,contr11,x,target,0,0.627
8040,UnsupervisedSparse,target,test12,n,nottarget,0,0.326
8040,UnsupervisedSparse,nottarget,contr6,x,target,0,0.39899999999999997
8040,UnsupervisedSparse,nottarget,catch6,x,target,0,0.278
8040,UnsupervisedSparse,target,test14,n,nottarget,0,0.294
8040,UnsupervisedSparse,nottarget,contr14,x,target,0,0.568
8040,UnsupervisedSparse,nottarget,contr8,x,target,0,0.375
8040,UnsupervisedSparse,nottarget,catch4,n,nottarget,1,0.42200000000000004
8040,UnsupervisedSparse,target,test7,x,target,1,0.32899999999999996
8040,UnsupervisedSparse,target,test2,x,target,1,0.33
8040,UnsupervisedSparse,nottarget,catch2,n,nottarget,1,0.61
8040,UnsupervisedSparse,target,test8,x,target,1,0.574
8040,UnsupervisedSparse,nottarget,contr13,n,nottarget,1,0.33299999999999996
8040,UnsupervisedSparse,target,test16,x,target,1,0.461
8040,UnsupervisedSparse,nottarget,contr12,x,target,0,0.327
8040,UnsupervisedSparse,nottarget,contr16,x,target,0,0.287
8040,UnsupervisedSparse,target,test5,x,target,1,0.315
8040,UnsupervisedSparse,target,test1,x,target,1,0.419
8040,UnsupervisedSparse,target,test13,x,target,1,0.303
8040,UnsupervisedSparse,nottarget,catch5,x,target,0,0.289
8040,UnsupervisedSparse,nottarget,catch1,n,nottarget,1,0.418
8040,UnsupervisedSparse,nottarget,contr3,n,nottarget,1,0.36
8040,UnsupervisedDense,target,test3,x,target,1,3.424
8040,UnsupervisedDense,nottarget,catch3,n,nottarget,1,1.067
8040,UnsupervisedDense,target,test5,x,target,1,0.526
8040,UnsupervisedDense,target,test16,x,target,1,0.5579999999999999
8040,UnsupervisedDense,nottarget,catch8,n,nottarget,1,0.428
8040,UnsupervisedDense,nottarget,contr8,n,nottarget,1,1.153
8040,UnsupervisedDense,target,test10,x,target,1,0.5489999999999999
8040,UnsupervisedDense,nottarget,catch7,n,nottarget,1,0.43799999999999994
8040,UnsupervisedDense,nottarget,contr1,n,nottarget,1,0.89
8040,UnsupervisedDense,nottarget,catch1,n,nottarget,1,0.594
8040,UnsupervisedDense,target,test8,x,target,1,0.76
8040,UnsupervisedDense,target,test15,x,target,1,0.6629999999999999
8040,UnsupervisedDense,nottarget,catch6,n,nottarget,1,0.489
8040,UnsupervisedDense,nottarget,contr13,n,nottarget,1,0.804
8040,UnsupervisedDense,target,test1,x,target,1,0.5529999999999999
8040,UnsupervisedDense,target,test4,x,target,1,1.232
8040,UnsupervisedDense,nottarget,contr5,n,nottarget,1,0.773
8040,UnsupervisedDense,target,test12,x,target,1,0.915
8040,UnsupervisedDense,nottarget,contr16,n,nottarget,1,0.899
8040,UnsupervisedDense,target,test6,x,target,1,0.684
8040,UnsupervisedDense,nottarget,catch5,n,nottarget,1,0.516
8040,UnsupervisedDense,target,test13,x,target,1,0.87
8040,UnsupervisedDense,nottarget,contr10,n,nottarget,1,0.937
8040,UnsupervisedDense,nottarget,catch4,n,nottarget,1,0.527
8040,UnsupervisedDense,nottarget,contr2,n,nottarget,1,0.664
8040,UnsupervisedDense,target,test11,x,target,1,0.57
8040,UnsupervisedDense,nottarget,contr11,n,nottarget,1,0.6629999999999999
8040,UnsupervisedDense,nottarget,contr12,x,target,0,0.595
8040,UnsupervisedDense,nottarget,contr3,n,nottarget,1,0.68
8040,UnsupervisedDense,nottarget,contr14,n,nottarget,1,0.488
8040,UnsupervisedDense,target,test14,n,nottarget,0,0.387
8040,UnsupervisedDense,target,test7,x,target,1,0.618
8040,UnsupervisedDense,target,test2,x,target,1,0.5720000000000001
8040,UnsupervisedDense,nottarget,contr15,n,nottarget,1,0.42700000000000005
8040,UnsupervisedDense,nottarget,contr9,n,nottarget,1,0.455
8040,UnsupervisedDense,nottarget,catch2,n,nottarget,1,0.545
8040,UnsupervisedDense,nottarget,contr7,n,nottarget,1,0.858
8040,UnsupervisedDense,nottarget,contr4,n,nottarget,1,0.6609999999999999
8040,UnsupervisedDense,nottarget,contr6,x,target,0,0.823
8040,UnsupervisedDense,target,test9,x,target,1,0.626
8091,SupervisedDense,nottarget,contr6,n,nottarget,1,1.63
8091,SupervisedDense,nottarget,contr5,n,nottarget,1,1.33
8091,SupervisedDense,nottarget,contr2,n,nottarget,1,0.754
8091,SupervisedDense,nottarget,catch2,n,nottarget,1,1.4580000000000002
8091,SupervisedDense,target,test9,x,target,1,1.2830000000000001
8091,SupervisedDense,target,test10,x,target,1,0.66
8091,SupervisedDense,nottarget,contr1,n,nottarget,1,0.56
8091,SupervisedDense,nottarget,contr11,n,nottarget,1,0.382
8091,SupervisedDense,nottarget,contr7,n,nottarget,1,0.42100000000000004
8091,SupervisedDense,target,test16,x,target,1,0.547
8091,SupervisedDense,target,test13,x,target,1,0.777
8091,SupervisedDense,target,test15,x,target,1,0.446
8091,SupervisedDense,nottarget,catch6,n,nottarget,1,0.603
8091,SupervisedDense,nottarget,contr16,n,nottarget,1,0.583
8091,SupervisedDense,nottarget,catch5,n,nottarget,1,0.43700000000000006
8091,SupervisedDense,nottarget,contr12,n,nottarget,1,0.37
8091,SupervisedDense,nottarget,contr13,n,nottarget,1,0.369
8091,SupervisedDense,target,test8,x,target,1,0.7190000000000001
8091,SupervisedDense,nottarget,contr14,n,nottarget,1,0.8809999999999999
8091,SupervisedDense,nottarget,catch3,n,nottarget,1,0.442
8091,SupervisedDense,nottarget,contr10,n,nottarget,1,0.613
8091,SupervisedDense,target,test7,x,target,1,0.5539999999999999
8091,SupervisedDense,nottarget,contr3,n,nottarget,1,0.36
8091,SupervisedDense,target,test11,x,target,1,1.0
8091,SupervisedDense,target,test6,x,target,1,0.7979999999999999
8091,SupervisedDense,target,test12,x,target,1,0.586
8091,SupervisedDense,target,test1,x,target,1,0.46399999999999997
8091,SupervisedDense,nottarget,contr15,n,nottarget,1,0.555
8091,SupervisedDense,target,test4,x,target,1,0.665
8091,SupervisedDense,target,test14,x,target,1,0.517
8091,SupervisedDense,target,test2,x,target,1,0.397
8091,SupervisedDense,nottarget,catch4,n,nottarget,1,0.442
8091,SupervisedDense,nottarget,catch1,n,nottarget,1,0.43700000000000006
8091,SupervisedDense,nottarget,catch7,n,nottarget,1,0.39299999999999996
8091,SupervisedDense,target,test5,x,target,1,0.591
8091,SupervisedDense,target,test3,x,target,1,0.5710000000000001
8091,SupervisedDense,nottarget,contr4,n,nottarget,1,0.547
8091,SupervisedDense,nottarget,contr9,n,nottarget,1,0.45799999999999996
8091,SupervisedDense,nottarget,catch8,n,nottarget,1,0.40399999999999997
8091,SupervisedDense,nottarget,contr8,n,nottarget,1,0.665
8091,SupervisedSparse,target,test9,x,target,1,1.886
8091,SupervisedSparse,target,test15,x,target,1,0.439
8091,SupervisedSparse,target,test8,x,target,1,0.363
8091,SupervisedSparse,nottarget,catch6,n,nottarget,1,0.435
8091,SupervisedSparse,nottarget,catch5,n,nottarget,1,0.526
8091,SupervisedSparse,nottarget,contr4,x,target,0,0.6779999999999999
8091,SupervisedSparse,nottarget,contr15,x,target,0,0.696
8091,SupervisedSparse,target,test1,x,target,1,0.408
8091,SupervisedSparse,target,test4,x,target,1,0.389
8091,SupervisedSparse,nottarget,catch7,x,target,0,0.0
8091,SupervisedSparse,nottarget,contr9,x,target,0,0.753
8091,SupervisedSparse,nottarget,contr14,x,target,0,0.609
8091,SupervisedSparse,nottarget,contr7,x,target,0,0.39799999999999996
8091,SupervisedSparse,nottarget,contr8,x,target,0,0.452
8091,SupervisedSparse,target,test7,x,target,1,0.742
8091,SupervisedSparse,nottarget,catch4,n,nottarget,1,0.893
8091,SupervisedSparse,nottarget,contr16,x,target,0,0.6459999999999999
8091,SupervisedSparse,target,test14,x,target,1,0.474
8091,SupervisedSparse,target,test12,x,target,1,0.364
8091,SupervisedSparse,target,test3,x,target,1,0.371
8091,SupervisedSparse,nottarget,contr11,x,target,0,0.593
8091,SupervisedSparse,nottarget,contr12,x,target,0,0.614
8091,SupervisedSparse,nottarget,contr1,x,target,0,0.387
8091,SupervisedSparse,target,test2,x,target,1,0.385
8091,SupervisedSparse,nottarget,contr3,x,target,0,0.6629999999999999
8091,SupervisedSparse,target,test13,x,target,1,0.8909999999999999
8091,SupervisedSparse,nottarget,catch1,n,nottarget,1,0.531
8091,SupervisedSparse,nottarget,catch8,n,nottarget,1,0.611
8091,SupervisedSparse,nottarget,contr2,x,target,0,0.705
8091,SupervisedSparse,target,test11,x,target,1,0.529
8091,SupervisedSparse,nottarget,catch3,n,nottarget,1,0.61
8091,SupervisedSparse,nottarget,contr6,x,target,0,0.503
8091,SupervisedSparse,target,test16,x,target,1,0.615
8091,SupervisedSparse,target,test10,x,target,1,0.644
8091,SupervisedSparse,nottarget,contr13,x,target,0,0.664
8091,SupervisedSparse,target,test5,x,target,1,0.5539999999999999
8091,SupervisedSparse,nottarget,contr5,x,target,0,0.77
8091,SupervisedSparse,target,test6,x,target,1,0.544
8091,SupervisedSparse,nottarget,contr10,x,target,0,0.439
8091,SupervisedSparse,nottarget,catch2,n,nottarget,1,0.563
8091,UnsupervisedSparse,nottarget,contr5,n,nottarget,1,1.9369999999999998
8091,UnsupervisedSparse,nottarget,contr11,n,nottarget,1,1.105
8091,UnsupervisedSparse,target,test13,x,target,1,0.593
8091,UnsupervisedSparse,nottarget,contr4,n,nottarget,1,1.208
8091,UnsupervisedSparse,nottarget,catch6,n,nottarget,1,0.659
8091,UnsupervisedSparse,target,test12,x,target,1,0.799
8091,UnsupervisedSparse,target,test10,x,target,1,1.6030000000000002
8091,UnsupervisedSparse,nottarget,contr13,x,target,0,1.072
8091,UnsupervisedSparse,nottarget,catch2,n,nottarget,1,0.547
8091,UnsupervisedSparse,nottarget,contr7,x,target,0,0.6729999999999999
8091,UnsupervisedSparse,nottarget,contr10,x,target,0,0.652
8091,UnsupervisedSparse,nottarget,catch7,n,nottarget,1,0.5429999999999999
8091,UnsupervisedSparse,nottarget,catch1,n,nottarget,1,0.6459999999999999
8091,UnsupervisedSparse,nottarget,catch8,n,nottarget,1,0.474
8091,UnsupervisedSparse,target,test4,x,target,1,0.485
8091,UnsupervisedSparse,nottarget,catch4,n,nottarget,1,0.446
8091,UnsupervisedSparse,target,test2,x,target,1,0.5539999999999999
8091,UnsupervisedSparse,target,test11,x,target,1,0.474
8091,UnsupervisedSparse,target,test3,x,target,1,0.46
8091,UnsupervisedSparse,nottarget,contr14,x,target,0,0.525
8091,UnsupervisedSparse,nottarget,contr9,x,target,0,0.583
8091,UnsupervisedSparse,target,test6,x,target,1,0.485
8091,UnsupervisedSparse,nottarget,contr2,x,target,0,0.502
8091,UnsupervisedSparse,target,test5,x,target,1,0.46399999999999997
8091,UnsupervisedSparse,target,test1,x,target,1,0.45899999999999996
8091,UnsupervisedSparse,target,test7,x,target,1,0.461
8091,UnsupervisedSparse,nottarget,catch5,n,nottarget,1,0.688
8091,UnsupervisedSparse,nottarget,contr8,x,target,0,0.562
8091,UnsupervisedSparse,nottarget,contr6,x,target,0,0.64
8091,UnsupervisedSparse,target,test14,x,target,1,0.532
8091,UnsupervisedSparse,target,test15,x,target,1,0.645
8091,UnsupervisedSparse,target,test9,x,target,1,0.488
8091,UnsupervisedSparse,nottarget,contr12,x,target,0,0.418
8091,UnsupervisedSparse,nottarget,contr3,x,target,0,0.391
8091,UnsupervisedSparse,target,test16,x,target,1,0.419
8091,UnsupervisedSparse,nottarget,contr15,x,target,0,0.4
8091,UnsupervisedSparse,nottarget,contr16,x,target,0,0.406
8091,UnsupervisedSparse,nottarget,catch3,n,nottarget,1,0.875
8091,UnsupervisedSparse,nottarget,contr1,x,target,0,0.55
8091,UnsupervisedSparse,target,test8,x,target,1,0.956
8091,UnsupervisedDense,nottarget,contr1,n,nottarget,1,1.089
8091,UnsupervisedDense,target,test9,x,target,1,0.585
8091,UnsupervisedDense,nottarget,catch2,n,nottarget,1,0.5589999999999999
8091,UnsupervisedDense,target,test6,x,target,1,0.5329999999999999
8091,UnsupervisedDense,target,test10,x,target,1,0.485
8091,UnsupervisedDense,nottarget,contr6,n,nottarget,1,0.5670000000000001
8091,UnsupervisedDense,nottarget,contr4,n,nottarget,1,0.6459999999999999
8091,UnsupervisedDense,nottarget,contr2,n,nottarget,1,0.401
8091,UnsupervisedDense,target,test5,n,nottarget,0,0.43
8091,UnsupervisedDense,target,test1,x,target,1,0.48200000000000004
8091,UnsupervisedDense,nottarget,catch8,n,nottarget,1,0.523
8091,UnsupervisedDense,target,test7,x,target,1,0.851
8091,UnsupervisedDense,target,test16,x,target,1,0.496
8091,UnsupervisedDense,target,test14,x,target,1,0.462
8091,UnsupervisedDense,target,test8,x,target,1,0.41
8091,UnsupervisedDense,target,test11,x,target,1,0.39
8091,UnsupervisedDense,nottarget,catch4,n,nottarget,1,0.682
8091,UnsupervisedDense,nottarget,contr16,n,nottarget,1,0.733
8091,UnsupervisedDense,nottarget,contr15,n,nottarget,1,0.7170000000000001
8091,UnsupervisedDense,nottarget,catch3,n,nottarget,1,0.565
8091,UnsupervisedDense,nottarget,contr12,n,nottarget,1,0.46799999999999997
8091,UnsupervisedDense,nottarget,contr10,n,nottarget,1,0.439
8091,UnsupervisedDense,nottarget,contr8,n,nottarget,1,0.39399999999999996
8091,UnsupervisedDense,nottarget,catch1,n,nottarget,1,0.528
8091,UnsupervisedDense,target,test2,x,target,1,0.5429999999999999
8091,UnsupervisedDense,target,test15,x,target,1,0.605
8091,UnsupervisedDense,nottarget,contr13,n,nottarget,1,0.8029999999999999
8091,UnsupervisedDense,nottarget,contr11,n,nottarget,1,0.713
8091,UnsupervisedDense,nottarget,catch5,n,nottarget,1,0.648
8091,UnsupervisedDense,nottarget,contr9,n,nottarget,1,0.46
8091,UnsupervisedDense,target,test3,x,target,1,0.527
8091,UnsupervisedDense,nottarget,catch6,n,nottarget,1,0.654
8091,UnsupervisedDense,target,test4,x,target,1,0.8420000000000001
8091,UnsupervisedDense,nottarget,contr3,n,nottarget,1,0.645
8091,UnsupervisedDense,nottarget,catch7,n,nottarget,1,0.831
8091,UnsupervisedDense,target,test13,x,target,1,0.596
8091,UnsupervisedDense,nottarget,contr5,n,nottarget,1,0.5539999999999999
8091,UnsupervisedDense,nottarget,contr14,n,nottarget,1,0.848
8091,UnsupervisedDense,target,test12,x,target,1,0.7070000000000001
8091,UnsupervisedDense,nottarget,contr7,n,nottarget,1,0.532
8058,SupervisedDense,nottarget,catch4,None,None,0,9999.0
8058,SupervisedDense,nottarget,contr5,n,nottarget,1,3.397
8058,SupervisedDense,target,test16,x,target,1,2.61
8058,SupervisedDense,nottarget,contr8,n,nottarget,1,1.31
8058,SupervisedDense,nottarget,contr1,n,nottarget,1,0.605
8058,SupervisedDense,target,test11,x,target,1,1.2819999999999998
8058,SupervisedDense,nottarget,contr2,n,nottarget,1,0.773
8058,SupervisedDense,nottarget,catch7,n,nottarget,1,0.6990000000000001
8058,SupervisedDense,nottarget,contr14,n,nottarget,1,0.9079999999999999
8058,SupervisedDense,target,test6,x,target,1,0.9309999999999999
8058,SupervisedDense,nottarget,contr10,n,nottarget,1,0.619
8058,SupervisedDense,target,test3,x,target,1,1.68
8058,SupervisedDense,nottarget,contr7,n,nottarget,1,0.594
8058,SupervisedDense,target,test5,x,target,1,1.319
8058,SupervisedDense,nottarget,contr9,n,nottarget,1,0.63
8058,SupervisedDense,target,test1,x,target,1,0.74
8058,SupervisedDense,nottarget,catch3,n,nottarget,1,0.9390000000000001
8058,SupervisedDense,target,test10,x,target,1,1.761
8058,SupervisedDense,target,test4,x,target,1,0.872
8058,SupervisedDense,target,test2,x,target,1,1.849
8058,SupervisedDense,target,test12,x,target,1,1.901
8058,SupervisedDense,nottarget,contr13,n,nottarget,1,0.9740000000000001
8058,SupervisedDense,target,test7,n,nottarget,0,3.674
8058,SupervisedDense,target,test14,n,nottarget,0,1.595
8058,SupervisedDense,nottarget,contr12,n,nottarget,1,1.5590000000000002
8058,SupervisedDense,nottarget,catch8,n,nottarget,1,2.285
8058,SupervisedDense,nottarget,contr16,n,nottarget,1,0.951
8058,SupervisedDense,target,test15,n,nottarget,0,3.4539999999999997
8058,SupervisedDense,nottarget,contr15,n,nottarget,1,1.255
8058,SupervisedDense,nottarget,catch2,n,nottarget,1,0.841
8058,SupervisedDense,target,test9,x,target,1,1.189
8058,SupervisedDense,nottarget,catch1,n,nottarget,1,0.778
8058,SupervisedDense,nottarget,contr4,n,nottarget,1,0.792
8058,SupervisedDense,target,test8,n,nottarget,0,2.2359999999999998
8058,SupervisedDense,target,test13,x,target,1,1.3519999999999999
8058,SupervisedDense,nottarget,contr3,n,nottarget,1,0.7340000000000001
8058,SupervisedDense,nottarget,contr11,n,nottarget,1,0.743
8058,SupervisedDense,nottarget,catch5,n,nottarget,1,0.615
8058,SupervisedDense,nottarget,contr6,n,nottarget,1,1.715
8058,SupervisedDense,nottarget,catch6,n,nottarget,1,0.555
8058,UnsupervisedDense,target,test7,x,target,1,2.037
8058,UnsupervisedDense,nottarget,contr4,n,nottarget,1,1.112
8058,UnsupervisedDense,target,test5,x,target,1,2.1519999999999997
8058,UnsupervisedDense,nottarget,catch7,n,nottarget,1,0.9259999999999999
8058,UnsupervisedDense,target,test16,x,target,1,1.038
8058,UnsupervisedDense,target,test3,x,target,1,1.13
8058,UnsupervisedDense,nottarget,catch1,n,nottarget,1,0.568
8058,UnsupervisedDense,nottarget,contr12,n,nottarget,1,0.7909999999999999
8058,UnsupervisedDense,nottarget,contr13,n,nottarget,1,0.532
8058,UnsupervisedDense,nottarget,contr3,n,nottarget,1,0.6509999999999999
8058,UnsupervisedDense,nottarget,contr10,n,nottarget,1,0.502
8058,UnsupervisedDense,target,test15,x,target,1,0.688
8058,UnsupervisedDense,target,test9,x,target,1,0.625
8058,UnsupervisedDense,nottarget,catch4,n,nottarget,1,0.557
8058,UnsupervisedDense,nottarget,catch2,n,nottarget,1,0.387
8058,UnsupervisedDense,nottarget,contr15,n,nottarget,1,0.631
8058,UnsupervisedDense,nottarget,contr7,n,nottarget,1,0.531
8058,UnsupervisedDense,target,test13,x,target,1,0.956
8058,UnsupervisedDense,nottarget,catch6,n,nottarget,1,1.169
8058,UnsupervisedDense,nottarget,contr16,n,nottarget,1,0.623
8058,UnsupervisedDense,target,test4,x,target,1,0.754
8058,UnsupervisedDense,nottarget,contr11,n,nottarget,1,0.746
8058,UnsupervisedDense,target,test10,x,target,1,1.168
8058,UnsupervisedDense,nottarget,catch3,n,nottarget,1,0.565
8058,UnsupervisedDense,nottarget,contr5,n,nottarget,1,0.9079999999999999
8058,UnsupervisedDense,target,test1,n,nottarget,0,0.499
8058,UnsupervisedDense,nottarget,catch8,n,nottarget,1,0.597
8058,UnsupervisedDense,target,test2,x,target,1,0.769
8058,UnsupervisedDense,nottarget,contr8,n,nottarget,1,0.76
8058,UnsupervisedDense,target,test8,x,target,1,0.8140000000000001
8058,UnsupervisedDense,nottarget,catch5,n,nottarget,1,0.642
8058,UnsupervisedDense,nottarget,contr2,n,nottarget,1,0.804
8058,UnsupervisedDense,nottarget,contr14,n,nottarget,1,0.513
8058,UnsupervisedDense,nottarget,contr1,n,nottarget,1,0.914
8058,UnsupervisedDense,target,test12,x,target,1,1.3780000000000001
8058,UnsupervisedDense,target,test6,x,target,1,0.8
8058,UnsupervisedDense,nottarget,contr9,n,nottarget,1,0.677
8058,UnsupervisedDense,target,test11,x,target,1,0.645
8058,UnsupervisedDense,target,test14,x,target,1,0.6970000000000001
8058,UnsupervisedDense,nottarget,contr6,n,nottarget,1,0.688
8058,SupervisedSparse,target,test12,x,target,1,2.51
8058,SupervisedSparse,nottarget,contr12,n,nottarget,1,0.79
8058,SupervisedSparse,target,test11,x,target,1,1.78
8058,SupervisedSparse,target,test15,x,target,1,0.872
8058,SupervisedSparse,nottarget,contr5,n,nottarget,1,0.491
8058,SupervisedSparse,target,test8,x,target,1,0.7
8058,SupervisedSparse,nottarget,contr11,n,nottarget,1,0.597
8058,SupervisedSparse,nottarget,contr8,n,nottarget,1,0.5870000000000001
8058,SupervisedSparse,nottarget,contr6,n,nottarget,1,0.4
8058,SupervisedSparse,nottarget,contr14,n,nottarget,1,0.35700000000000004
8058,SupervisedSparse,nottarget,catch7,n,nottarget,1,1.083
8058,SupervisedSparse,nottarget,contr16,n,nottarget,1,0.853
8058,SupervisedSparse,nottarget,contr10,n,nottarget,1,0.441
8058,SupervisedSparse,nottarget,catch1,n,nottarget,1,0.733
8058,SupervisedSparse,nottarget,catch2,n,nottarget,1,0.452
8058,SupervisedSparse,nottarget,contr15,n,nottarget,1,0.848
8058,SupervisedSparse,nottarget,contr13,n,nottarget,1,0.507
8058,SupervisedSparse,target,test4,x,target,1,0.618
8058,SupervisedSparse,nottarget,contr4,n,nottarget,1,0.528
8058,SupervisedSparse,target,test2,x,target,1,0.528
8058,SupervisedSparse,target,test10,x,target,1,0.855
8058,SupervisedSparse,nottarget,catch4,n,nottarget,1,0.523
8058,SupervisedSparse,target,test9,x,target,1,0.81
8058,SupervisedSparse,target,test1,x,target,1,0.6609999999999999
8058,SupervisedSparse,nottarget,contr2,n,nottarget,1,0.41
8058,SupervisedSparse,target,test6,x,target,1,1.2309999999999999
8058,SupervisedSparse,target,test3,x,target,1,0.841
8058,SupervisedSparse,nottarget,contr1,n,nottarget,1,0.605
